Merge_Year,Merge_Month,Country_Clean,Centroid_X,Centroid_Y,Duration_i,Dead,Displaced,Severity__,Affected_s,Magnitude,Country,ISO,Disaster Subtype,Total Deaths,No. Affected,Total Affected,Total Damage ('000 US$)
2010,8,niger,14.0,13.6,11.0,1.0,5000.0,1.0,619100.0,6.833153,Niger,NER,Riverine flood,3.0,226611.0,226611.0,
2010,8,india,76.12,33.53,3.0,150.0,180.0,11.5,145000.0,6.699187,India,IND,Flash flood,196.0,12500.0,12725.0,
2010,7,afghanistan,68.86,35.21,8.0,65.0,180.0,1.0,176800.0,6.150572,Afghanistan,AFG,Riverine flood,65.0,5000.0,5000.0,
2010,7,pakistan,73.26,33.36,16.0,1600.0,14000000.0,2.0,129700.0,6.61809,Pakistan,PAK,Flash flood,1985.0,20356550.0,20359496.0,9500000.0
2010,7,pakistan,73.26,33.36,16.0,1600.0,14000000.0,2.0,129700.0,6.61809,Pakistan,PAK,Flash flood,60.0,4000.0,4000.0,
2010,7,saudi arabia,41.92,21.51,3.0,14.0,0.0,1.0,346200.0,6.016448,Saudi Arabia,SAU,Riverine flood,10.0,85.0,85.0,
2010,7,saudi arabia,41.92,21.51,3.0,14.0,0.0,1.0,346200.0,6.016448,Saudi Arabia,SAU,Riverine flood,14.0,,,
2010,7,indonesia,114.97,-2.14,3.0,21.0,15000.0,1.0,106500.0,5.504471,Indonesia,IDN,Riverine flood,21.0,15000.0,15007.0,
2010,7,nepal,84.78,28.35,1.0,12.0,0.0,1.0,132600.0,5.122544,Nepal,NPL,Riverine flood,12.0,,,
2010,7,pakistan,66.95,30.51,3.0,60.0,0.0,1.5,14180.0,4.804889,Pakistan,PAK,Flash flood,1985.0,20356550.0,20359496.0,9500000.0
2010,7,pakistan,66.95,30.51,3.0,60.0,0.0,1.5,14180.0,4.804889,Pakistan,PAK,Flash flood,60.0,4000.0,4000.0,
2010,7,philippines,121.47,17.1,4.0,23.0,0.0,1.5,34780.0,5.319481,Philippines,PHL,Riverine flood,,80920.0,80920.0,
2010,7,yemen,47.92,16.73,6.0,15.0,0.0,1.5,176300.0,6.200495,Yemen,YEM,Riverine flood,15.0,,,
2010,7,sudan,36.7,18.7,33.0,33.0,10000.0,1.5,100400.0,6.696339,Sudan,SDN,Riverine flood,33.0,,10000.0,
2010,7,sudan,36.7,18.7,33.0,33.0,10000.0,1.5,100400.0,6.696339,Sudan,SDN,Riverine flood,3.0,16350.0,16362.0,
2010,7,india,86.2,25.59,3.0,0.0,5000.0,1.0,192700.0,5.762003,India,IND,Riverine flood,11.0,,,
2010,7,india,86.2,25.59,3.0,0.0,5000.0,1.0,192700.0,5.762003,India,IND,Riverine flood,53.0,,400000.0,447000.0
2010,7,japan,133.64,34.69,2.0,0.0,0.0,1.0,78650.0,5.196729,Japan,JPN,Riverine flood,10.0,,,
2010,7,saudi arabia,41.17,20.61,3.0,7.0,85.0,1.0,56000.0,5.225309,Saudi Arabia,SAU,Riverine flood,10.0,85.0,85.0,
2010,7,saudi arabia,41.17,20.61,3.0,7.0,85.0,1.0,56000.0,5.225309,Saudi Arabia,SAU,Riverine flood,14.0,,,
2010,7,india,74.78,30.19,11.0,98.0,523000.0,1.0,147400.0,6.20989,India,IND,Riverine flood,11.0,,,
2010,7,india,74.78,30.19,11.0,98.0,523000.0,1.0,147400.0,6.20989,India,IND,Riverine flood,53.0,,400000.0,447000.0
2010,6,ukraine,24.79,48.59,6.0,2.0,0.0,1.5,34500.0,5.492062,Ukraine,UKR,Riverine flood,6.0,40000.0,40059.0,1900.0
2010,6,liberia,-7.15,6.01,3.0,12.0,0.0,1.0,183800.0,5.741467,Liberia,LBR,Riverine flood,1.0,15486.0,15486.0,
2010,6,brazil,-37.78,-6.36,9.0,50.0,150000.0,2.0,320100.0,6.760558,Brazil,BRA,Riverine flood,72.0,157000.0,157000.0,602000.0
2010,6,pakistan,72.08,36.03,3.0,46.0,0.0,1.0,9326.0,4.446817,Pakistan,PAK,Riverine flood,46.0,,,
2010,6,bosnia and herzegovina,17.7,44.0,5.0,46.0,0.0,1.0,28640.0,5.155943,Bosnia and Herzegovina,BIH,Riverine flood,,14910.0,14910.0,87000.0
2010,6,romania,23.19,46.08,21.0,23.0,17500.0,2.0,56730.0,6.377062,Romania,ROU,Riverine flood,26.0,12237.0,12237.0,1111428.0
2010,6,ghana,-0.98,7.93,5.0,30.0,0.0,1.0,150900.0,5.877659,Ghana,GHA,Riverine flood,45.0,7500.0,7500.0,
2010,6,france,6.59,43.5,2.0,19.0,0.0,2.0,7700.0,4.488551,France,FRA,Flash flood,26.0,1000.0,1000.0,1500000.0
2010,6,pakistan,67.9,25.12,2.0,23.0,4000.0,1.0,59030.0,5.072103,Pakistan,PAK,Riverine flood,46.0,,,
2010,5,hungary,19.8,49.67,14.0,0.0,3000.0,1.0,175000.0,6.389166,Hungary,HUN,Riverine flood,1.0,5000.0,5000.0,440000.0
